catalogNumber,institutionCode,scientific_name,individualCount,year,month,day,locality,historical_site_code,decimalLatitude,decimalLongitude,collectedBy,coordinateUncertaintyInMeters,notes,common_name,species_code,order
87.7.1.405,NHM Tring,Acridotheres fuscus,,1876,4,29,Ootacamund,OTCM,NA,NA,W Davison,,Hume coll.,Jungle Myna,JUMY,Passeriformes
87.7.1.369,NHM Tring,Acridotheres fuscus,,1881,1,13,Ootacamund,OTCM,NA,NA,W Davison,,Hume coll.,Jungle Myna,JUMY,Passeriformes
87.7.1.1032,NHM Tring,Acridotheres fuscus,,1881,2,1,Ootacamund,OTCM,NA,NA,W Davison,,Hume coll.,Jungle Myna,JUMY,Passeriformes
87.7.1.401,NHM Tring,Acridotheres fuscus,,1881,3,23,Ootacamund,OTCM,NA,NA,W Davison,,Hume coll.,Jungle Myna,JUMY,Passeriformes
87.7.1.399,NHM Tring,Acridotheres fuscus,,1881,2,10,Ootacamund,OTCM,NA,NA,W Davison,,Hume coll.,Jungle Myna,JUMY,Passeriformes
87.7.1.402,NHM Tring,Acridotheres fuscus,,1881,3,22,Ootacamund,OTCM,NA,NA,W Davison,,Hume coll.,Jungle Myna,JUMY,Passeriformes
87.7.1.400,NHM Tring,Acridotheres fuscus,,1881,2,10,Ootacamund,OTCM,NA,NA,W Davison,,Hume coll.,Jungle Myna,JUMY,Passeriformes
87.7.1.395,NHM Tring,Acridotheres fuscus,,1881,1,18,Ootacamund,OTCM,NA,NA,W Davison,,Hume coll.,Jungle Myna,JUMY,Passeriformes
87.7.1.309,NHM Tring,Acridotheres fuscus,,1881,2,2,Ootacamund,OTCM,NA,NA,W Davison,,Hume coll.,Jungle Myna,JUMY,Passeriformes
87.7.1.397,NHM Tring,Acridotheres fuscus,,1876,4,27,Ootacamund,OTCM,NA,NA,W Davison,,Hume coll.,Jungle Myna,JUMY,Passeriformes
87.7.1.1029,NHM Tring,Acridotheres fuscus,,1881,2,26,Ootacamund,OTCM,NA,NA,,,Hume coll.,Jungle Myna,JUMY,Passeriformes
YPM ORN 009926,YPM,Acridotheres fuscus,,1947,3,6,Doddabetta,DDBT,11.402417,76.736722,S D Ripley,,,Jungle Myna,JUMY,Passeriformes
YPM ORN 042883,YPM,Acridotheres fuscus,,1938,NA,NA,Kilmelford,KMFD,11.469283,76.896385,A N Primrose,7727,,Jungle Myna,JUMY,Passeriformes
BIB96,JournalData,Acridotheres tristis,X,1904,NA,NA,Coonoor,CNRG,NA,NA,D Dewar,,,Common Myna,COMY,Passeriformes
BE17101,MuseumUnknown,Acridotheres tristis,2,1880,4,24,Ootacamund,OTCM,11.4,76.7,,,,Common Myna,COMY,Passeriformes
239698,FMNH,Acrocephalus dumetorum,,1937,2,19,Kunjapanai,KJPN,NA,NA,,,,Blyth's Reed Warbler,BRWA,Passeriformes
239750,FMNH,Acrocephalus dumetorum,,1937,2,20,Kunjapanai,KJPN,NA,NA,,,,Blyth's Reed Warbler,BRWA,Passeriformes
239704,FMNH,Acrocephalus dumetorum,,1937,2,16,Ootacamund,OTCM,NA,NA,,,,Blyth's Reed Warbler,BRWA,Passeriformes
239708,FMNH,Acrocephalus dumetorum,,1937,2,16,Ootacamund,OTCM,NA,NA,,,,Blyth's Reed Warbler,BRWA,Passeriformes
239749,FMNH,Acrocephalus dumetorum,,1937,2,16,Ootacamund,OTCM,NA,NA,,,,Blyth's Reed Warbler,BRWA,Passeriformes
BIB96,JournalData,Acrocephalus dumetorum,5,2003,2,14,Avalanche,AVLC,NA,NA,A A Zarri,,,Blyth's Reed Warbler,BRWA,Passeriformes
86.7.8.1683,NHM Tring,Acrocephalus dumetorum,,1873,3,1,Coonoor,CNRG,NA,NA,F Day,,Hume coll.,Blyth's Reed Warbler,BRWA,Passeriformes
86.7.8.1687,NHM Tring,Acrocephalus dumetorum,,1869,3,15,Coonoor,CNRG,NA,NA,H R P Carter,,Hume coll.,Blyth's Reed Warbler,BRWA,Passeriformes
86.78.1662,NHM Tring,Acrocephalus dumetorum,,1881,1,25,Coonoor,CNRG,NA,NA,W Davison,,Hume coll.,Blyth's Reed Warbler,BRWA,Passeriformes
83.8.1.40,NHM Tring,Acrocephalus dumetorum,,1883,2,7,Coonoor,CNRG,NA,NA,W Davison,,,Blyth's Reed Warbler,BRWA,Passeriformes
86.7.8.1673,NHM Tring,Acrocephalus dumetorum,,1881,3,26,Gudalur,GDLR,NA,NA,W Davison,,Hume coll.,Blyth's Reed Warbler,BRWA,Passeriformes
86.7.8.1679,NHM Tring,Acrocephalus dumetorum,,1881,3,16,Ootacamund,OTCM,NA,NA,W Davison,,Hume coll.,Blyth's Reed Warbler,BRWA,Passeriformes
86.7.8.1674,NHM Tring,Acrocephalus dumetorum,,1881,2,10,Ootacamund,OTCM,NA,NA,W Davison,,Hume coll.,Blyth's Reed Warbler,BRWA,Passeriformes
82.6.8.3,NHM Tring,Acrocephalus dumetorum,,1882,1,11,Ootacamund,OTCM,NA,NA,W Davison,,,Blyth's Reed Warbler,BRWA,Passeriformes
86.7.8.1675,NHM Tring,Acrocephalus dumetorum,,1881,3,16,Ootacamund,OTCM,NA,NA,W Davison,,Hume coll.,Blyth's Reed Warbler,BRWA,Passeriformes
86.7.8.1677,NHM Tring,Acrocephalus dumetorum,,1881,3,6,Ootacamund,OTCM,NA,NA,W Davison,,Hume coll.,Blyth's Reed Warbler,BRWA,Passeriformes
