scientific_name,common_name,species_code,eBird_codes,Habitat.type,Habitat.Specialization.SoIB2022,VKL.Habitat.Classification,Wet.Paddy.fields,Open.Areas,Groves.Gardens.and.Plantations,Habitation,Dry.Grassland,Hill.Grassland,Wet.Grassland,High.Altitude.Grassland,Reeds,Dry.Deciduous,Hill.Shrubland,Thorny.Scrub,Rocky.Scrub,Tropical.Rainforest,Bamboo.Forest,Shola.Forest,Moist.Deciduous,Subtropical.Montane.Forest,Mixed.Forest,Oak.Forest,Coniferous.Forest,Forest.Swamp,Short.Grass.Marshes,High.Shrubbery,High.Alpine,Inland.Water,Inland.Mudflats,Coastal.Mudflats,Beaches,Pelagic.Waters,Hot.Desert,Semi.Desert,Cold.Desert,Mangrove.Swamps,Salt.Pans,Lagoons,Rivers,High.Altitude.Lakes,Brackish.Backwaters,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Trophic.Level,Trophic.Niche,Primary.Lifestyle
Elanus caeruleus,Black-winged Kite,BWK,BWKI,Grassland,Open Habitat,Grassland,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,30.9,16,9.2,11.3,32.1,286.3,132.1,160.2,45.2,127.7,259.8,Carnivore,Vertivore,Aerial
Strix leptogrammica,Brown Wood-Owl,NA,BWOW,Forest,Tropical Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3,19.8,11.4,18.6,40.2,313,89.2,224.3,28.5,157,970,Carnivore,Vertivore,Insessorial
Bubulcus ibis,Cattle Egret,CE,CAEG,Wetland,Wetland,Wetland,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,63.3,43.5,8.6,11.5,76.8,244.4,73,171.2,29.9,90.9,366,Carnivore,Omnivore,Terrestrial
Leptocoma minima,Crimson-backed Sunbird,CBS,CBSU,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1,10.3,2.6,2.2,13,44.3,6.2,39.2,13.6,28.6,4.9,Omnivore,Nectarivore,Insessorial
Merops leschenaulti,Chestnut-headed Bee-eater,CHBE,CHBE,Forest,Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.3,28.9,7.5,6.3,11.1,106.2,43.7,62,41.4,80.2,27.2,Carnivore,Invertivore,Insessorial
Parus cinereus,Cinereous Tit,CT,CITI,Generalist,None,Generalist,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,7.8,4.1,4.4,16.7,63.1,11.4,51.7,18.1,57.9,14.4,Omnivore,Invertivore,Insessorial
Psilopogon haemacephalus,Coppersmith Barbet,CSB,COBA,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6,14.8,9.3,9.4,19.2,80.6,19.8,59.3,25.1,36.1,44.5,Omnivore,Frugivore,Insessorial
Buteo buteo,Common Buzzard,CBZ,COBU,Grassland,Grassland,Grassland,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.9,22.1,12.6,16.6,75.8,383.2,147.2,237.2,38.3,214.4,759.1,Carnivore,Vertivore,Insessorial
Hierococcyx varius,Common Hawk-Cuckoo,NA,COHC,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1,14.9,7.7,7.6,23.5,191,66.8,124,35,161.4,103,Carnivore,Invertivore,Insessorial
Aegithina tiphia,Common Iora,CI,COIO,Generalist,Wooded Habitat,Generalist,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,10.8,4.3,4.5,19.7,61.6,6.2,55.2,10,47.8,12,Carnivore,Invertivore,Insessorial
Acridotheres tristis,Common Myna,NA,COMY,Generalist,None,Generalist,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.8,16,6.4,8,38.6,139.8,32.8,106.3,23.6,84.8,116.4,Carnivore,Omnivore,Terrestrial
Carpodacus erythrinus,Common Rosefinch,CRF,CORO,Forest,None,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,8,6.8,7.9,16.4,80.2,24.7,55.8,30.8,58.6,24,Herbivore,Granivore,Insessorial
Orthotomus sutorius,Common Tailorbird,CTB,COTA,Generalist,None,Generalist,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,15.5,8.9,2.7,2.6,19.3,45.5,4.8,40.8,10.4,47.7,7.5,Carnivore,Invertivore,Insessorial
Spilornis cheela,Crested Serpent-Eagle,CSE,CSEA,Forest,Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,45.6,30.1,14.4,20.8,82.2,373.7,112.6,261.1,30.1,237.4,597.7,Carnivore,Vertivore,Insessorial
