day,month,year,modern_site_code,historical_site_code,start_time,number,time_seg,HSF,notes,scientific_name,common_name,species_code,order,family
12,3,2021,KJPN1,KJPN,7:39,1,1,H,,Loriculus vernalis,Vernal Hanging-Parrot,VHPA,Psittaciformes,Psittaculidae (Old World Parrots)
12,3,2021,KJPN1,KJPN,7:39,2,3,H,,Loriculus vernalis,Vernal Hanging-Parrot,VHPA,Psittaciformes,Psittaculidae (Old World Parrots)
12,3,2021,KJPN1,KJPN,7:39,1,1,H,,Psilopogon viridis,White-cheeked Barbet,WCBA,Piciformes,Megalaimidae (Asian Barbets)
12,3,2021,KJPN1,KJPN,7:39,2,3,H,,Iole indica,Yellow-browed Bulbul,YBBU,Passeriformes,Pycnonotidae (Bulbuls)
12,3,2021,KJPN2,KJPN,6:55,1,3,S,,Dicrurus leucophaeus,Ashy Drongo,ASDR,Passeriformes,Dicruridae (Drongos)
12,3,2021,KJPN2,KJPN,6:55,1,3,S,,Chalcophaps indica,Asian Emerald Dove,AEDO,Columbiformes,Columbidae (Pigeons and Doves)
12,3,2021,KJPN2,KJPN,6:55,1,2,H,,Irena puella,Asian Fairy-bluebird,AFBL,Passeriformes,Irenidae (Fairy-bluebirds)
12,3,2021,KJPN2,KJPN,6:55,3,1,H,,Alcippe poioicephala,Brown-cheeked Fulvetta,BCFU,Passeriformes,Leiothrichidae (Laughingthrushes and Allies)
12,3,2021,KJPN2,KJPN,6:55,1,1,H,,Acrocephalus dumetorum,Blyth's Reed Warbler,BRWA,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
12,3,2021,KJPN2,KJPN,6:55,1,2,H,,Acrocephalus dumetorum,Blyth's Reed Warbler,BRWA,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
12,3,2021,KJPN2,KJPN,6:55,1,1,H,,Leptocoma minima,Crimson-backed Sunbird,CBSU,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters)
12,3,2021,KJPN2,KJPN,6:55,1,2,H,,Leptocoma minima,Crimson-backed Sunbird,CBSU,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters)
12,3,2021,KJPN2,KJPN,6:55,1,2,H,,Aegithina tiphia,Common Iora,COIO,Passeriformes,Aegithinidae (Ioras)
