x,y,month,year,season,ppt,t_mean,t_sd
77.75,11.75,1,1946,dry,15.91,22.65,0.6017613037298648
77.75,11.75,1,1947,dry,21.5,24.115032258064517,0.5953688203610137
77.75,11.75,1,1948,dry,26.66,23.964951612903224,0.4306897443798474
77.75,11.75,1,1949,dry,0,23.359870967741937,0.5784299290283127
77.75,11.75,1,1950,dry,0,23.21982258064516,0.7687174768013177
77.75,11.75,1,1951,dry,2.02,23.61514516129032,0.46043411026168823
77.75,11.75,1,1952,dry,0.03,24.015225806451614,0.5739825031989167
77.75,11.75,1,1953,dry,2.09,23.960435483870967,0.6208846879243559
77.75,11.75,1,1954,dry,29.6,23.920354838709677,0.39487496319612314
77.75,11.75,1,1955,dry,9.540000000000001,24.234870967741934,0.8525957518830551
77.75,11.75,1,1956,dry,14.16,23.089774193548386,0.9019151367941965
77.75,11.75,1,1957,dry,0,23.43967741935484,0.8182185277416943
77.75,11.75,1,1958,dry,3.36,24.52482258064516,1.0555835159473568
77.75,11.75,1,1959,dry,0,24.150354838709678,1.0133350399674366
77.75,11.75,1,1960,dry,0,23.804967741935485,0.4878258216393063
77.75,11.75,1,1961,dry,57.52,23.96508064516129,0.5413930657229581
77.75,11.75,1,1962,dry,12.67,23.249870967741934,1.0321762686006521
77.75,11.75,1,1963,dry,13.4,23.564709677419355,0.46720617815181553
77.75,11.75,1,1964,dry,0,24.829887096774193,0.7624864885106424
77.75,11.75,1,1965,dry,0,23.834887096774192,0.49391528810916246
77.75,11.75,1,1966,dry,0.31,23.154774193548388,0.5312917409281779
77.75,11.75,1,1967,dry,51.97,23.77474193548387,0.6638948695760963
77.75,11.75,1,1968,dry,0.6499999999999999,22.569903225806453,0.7141285764173804
77.75,11.75,1,1969,dry,0,24.37001612903226,0.8533232631294247
77.75,11.75,1,1970,dry,6.13,23.97474193548387,1.2656867955841713
77.75,11.75,1,1971,dry,16.86,23.78017741935484,0.8744816898062824
77.75,11.75,1,1972,dry,0.45,23.64516129032258,1.2673906815914917
77.75,11.75,1,1973,dry,0,23.954693548387098,0.8770633735884324
77.75,11.75,1,1974,dry,0,22.69974193548387,0.6128714366402327
77.75,11.75,1,1975,dry,1.1700000000000002,23.055,0.7326811493867346
77.75,11.75,1,1976,dry,0.59,22.57990322580645,0.8240396169618184
77.75,11.75,1,1977,dry,0,23.674887096774192,1.1624803848501235
77.75,11.75,1,1978,dry,0,23.670241935483872,0.9187236061602692
77.75,11.75,1,1979,dry,0,24.379790322580646,0.9454778049060132
77.75,11.75,1,1980,dry,0,23.850129032258064,0.7614697517273412
77.75,11.75,1,1981,dry,0.48,23.92509677419355,0.5306203510884661
77.75,11.75,1,1982,dry,0.24,23.564951612903226,0.7661094281589143
77.75,11.75,1,1983,dry,0,23.754790322580646,0.7043661071511219
77.75,11.75,1,1984,dry,9.36,24.184790322580646,0.46027341103221003
77.75,11.75,1,1985,dry,38.57,24.064870967741935,0.37912994623088303
77.75,11.75,1,1986,dry,34.63,23.47485483870968,0.7142195530034676
77.75,11.75,1,1987,dry,3.4,24.155193548387096,0.6469867293515295
77.75,11.75,1,1988,dry,0,23.63533870967742,0.4874260351940033
77.75,11.75,1,1989,dry,0,23.615435483870968,0.8140430756613916
77.75,11.75,1,1990,dry,14.78,23.45524193548387,0.676406976493784
77.75,11.75,1,1991,dry,13.87,24.52040322580645,0.62831888691644
77.75,11.75,1,1992,dry,0.01,22.944612903225806,0.854137369022858
77.75,11.75,1,1993,dry,0,23.274806451612903,0.9989178284308418
77.75,11.75,1,1994,dry,3.94,23.884951612903226,0.6036488956730658
77.75,11.75,1,1995,dry,5.21,23.91,0.8377758252261363
77.75,11.75,1,1996,dry,0,24.205322580645163,0.8464503681885026
77.75,11.75,1,1997,dry,3.8,23.874790322580644,0.9536246359215768
77.75,11.75,1,1998,dry,0.04,25.155,0.9968099116682179
77.75,11.75,1,1999,dry,0.12,23.73508064516129,0.8463794174479727
77.75,11.75,1,2000,dry,2.0700000000000003,24.33475806451613,0.6776907341721561
77.75,11.75,1,2001,dry,6.9399999999999995,24.375032258064515,0.6140811826824943
77.75,11.75,1,2002,dry,0.8,24.455048387096774,1.0491235973805206
77.75,11.75,1,2003,dry,0,24.470387096774193,0.8059501505436241
77.75,11.75,1,2004,dry,0.21,24.28525806451613,1.343503404480042
77.75,11.75,1,2005,dry,0,24.74541935483871,1.0157319782368297
77.75,11.75,1,2006,dry,2.7600000000000002,24.050032258064515,0.8951735579901431
77.75,11.75,1,2007,dry,0,24.36474193548387,0.8794826497338052
77.75,11.75,1,2008,dry,2.86,24.184951612903227,1.3904305050045869
77.75,11.75,1,2009,dry,2.1399999999999997,23.98958064516129,1.2038396010043184
77.75,11.75,1,2010,dry,1.8800000000000001,24.640354838709676,0.6961402420196234
77.75,11.75,1,2011,dry,0,24.215048387096775,0.858357145509555
77.75,11.75,1,2012,dry,0.25,24.32958064516129,1.1695275905023514
77.75,11.75,1,2013,dry,0,24.944741935483872,0.9677722172681594
77.75,11.75,1,2014,dry,0,24.49991935483871,0.4365277214712756
77.75,11.75,1,2015,dry,24.010450000000002,24.519774193548386,0.7294444785669626
77.75,11.75,1,2016,dry,0,24.659887096774195,0.9724199942212673
77.75,11.75,1,2017,dry,7.65,23.670483870967743,0.6263749607047278
77.75,11.75,1,2018,dry,0.03,23.767096774193547,0.8943841216106461
77.75,11.75,2,1870,dry,0,25.358,0.9502109902152919
77.75,11.75,2,1871,dry,24.9797,24.859535714285716,0.7400930112789308
77.75,11.75,2,1872,dry,3.23,24.79201724137931,0.9146011472880895
77.75,11.75,2,1873,dry,9.39,24.44280357142857,0.7284896010758569
77.75,11.75,2,1874,dry,6.25,24.59025,0.7487565309181564
77.75,11.75,2,1875,dry,0,24.90967857142857,0.2716120672565288
77.75,11.75,2,1876,dry,0,24.874827586206894,0.8303500582355748
77.75,11.75,2,1877,dry,0,25.914785714285713,0.38019418597293
77.75,11.75,2,1878,dry,0,26.58967857142857,0.7066882624358142
77.75,11.75,2,1879,dry,7.289968,25.209857142857143,1.0619766062250675
77.75,11.75,2,1880,dry,2.47,24.924775862068966,1.2651596990259408
77.75,11.75,2,1881,dry,0,24.96007142857143,0.7141491403824514
77.75,11.75,2,1882,dry,0,25.074785714285714,0.8130426555774058
77.75,11.75,2,1883,dry,0,25.02467857142857,0.5891149704537291
77.75,11.75,2,1884,dry,0,24.28,0.9124916829366561
77.75,11.75,2,1885,dry,0,24.4,1.1742901717239258
77.75,11.75,2,1886,dry,0,24.91507142857143,0.3730302766553776
77.75,11.75,2,1887,dry,0,24.44032142857143,0.9992381191603277
77.75,11.75,2,1888,dry,0.48000252,24.939913793103447,0.7279761827560696
77.75,11.75,2,1889,dry,0,25.359928571428572,0.9440474889409222
77.75,11.75,2,1890,dry,0,25.035357142857144,0.7485645875934434
77.75,11.75,2,1891,dry,19.36,25.079821428571428,0.5327661604738344
77.75,11.75,2,1892,dry,25.28987,25.049775862068966,0.79041385617878
77.75,11.75,2,1893,dry,0,24.564964285714286,0.9555920593341255
77.75,11.75,2,1894,dry,9.08,25.10007142857143,0.9840443353671896
77.75,11.75,2,1895,dry,0,24.849642857142857,0.5139190896316566
77.75,11.75,2,1896,dry,0,24.95996551724138,0.9388037404347019
77.75,11.75,2,1897,dry,39.9,25.824892857142856,0.891246581803666
77.75,11.75,2,1898,dry,0,24.44975,0.9500620106467125
77.75,11.75,2,1899,dry,0,25.085107142857144,0.9722549711037629
77.75,11.75,2,1900,dry,0,25.58492857142857,0.9592665573459384
77.75,11.75,2,1901,dry,22.09,25.795392857142858,0.7956770394187592
77.75,11.75,2,1902,dry,3.47,24.825,0.7471228765019796
77.75,11.75,2,1903,dry,2.65,25.41,0.5388525188184953
77.75,11.75,2,1904,dry,0,24.29512068965517,0.9462000095794116
77.75,11.75,2,1905,dry,3.83,24.600285714285715,0.6112619222282193
77.75,11.75,2,1906,dry,32.769999999999996,25.390285714285714,1.1593147036118283
77.75,11.75,2,1907,dry,0,24.86507142857143,0.5842577709000908
77.75,11.75,2,1908,dry,24.55,24.745206896551725,0.49536900959287344
77.75,11.75,2,1909,dry,5.45,24.725357142857142,1.013766289608749
77.75,11.75,2,1910,dry,14.040000000000001,24.549892857142858,1.4882104923621249
77.75,11.75,2,1911,dry,0,24.28025,0.7816064001879814
77.75,11.75,2,1912,dry,4.48,25.299948275862068,1.030374501480162
77.75,11.75,2,1913,dry,0,25.050285714285714,0.8842099573502035
77.75,11.75,2,1914,dry,2.12,24.990214285714284,1.1624385402198085
77.75,11.75,2,1915,dry,2.59,24.874821428571426,1.2404520398739778
77.75,11.75,2,1916,dry,0,24.864810344827585,1.5007597624310227
77.75,11.75,2,1917,dry,40.65,24.364642857142858,0.9727456640788111
77.75,11.75,2,1918,dry,0.03,23.96967857142857,0.7191474918814397
77.75,11.75,2,1919,dry,0,25.660035714285712,1.4394606366980565
77.75,11.75,2,1920,dry,0.31,25.190086206896552,0.6753684453287796
77.75,11.75,2,1921,dry,0,24.789767857142856,0.8892591640126195
77.75,11.75,2,1922,dry,4.54,24.769892857142857,0.45699309819617784
77.75,11.75,2,1923,dry,0.05,24.559785714285713,1.3004050040672617
