"catalogNumber","institutionCode","scientific_name","individualCount","year","month","day","locality","historical_site_code","decimalLatitude","decimalLongitude","collectedBy","coordinateUncertaintyInMeters","notes","common_name","species_code","order"
"89.2.12.446","NHM Tring","Columba elphinstonii","",1881,11,17,"Coonoor","CNRG",NA,NA,"W Davison","","","Nilgiri Wood-Pigeon","NWPI","Columbiformes"
"89.2.12.445","NHM Tring","Columba elphinstonii","",1881,11,15,"Coonoor","CNRG",NA,NA,"W Davison","","Hume coll.","Nilgiri Wood-Pigeon","NWPI","Columbiformes"
"89.2.2.290","NHM Tring","Columba elphinstonii","",1877,6,12,"Kotagiri","LWSL",NA,NA,"J Darling","","Hume coll.","Nilgiri Wood-Pigeon","NWPI","Columbiformes"
"89.2.2.289","NHM Tring","Columba elphinstonii","",1874,6,15,"Kotagiri","LWSL",NA,NA,"M Cockburn","","Hume coll.","Nilgiri Wood-Pigeon","NWPI","Columbiformes"
"89.2.12.280","NHM Tring","Columba elphinstonii","",1874,7,2,"Kotagiri Coffee Estate","LWSL",NA,NA,"M Cockburn","","Hume coll.","Nilgiri Wood-Pigeon","NWPI","Columbiformes"
"89.2.2.286","NHM Tring","Columba elphinstonii","",1881,3,24,"Naduvattum","NDVT",NA,NA,"W Davison","","Hume coll.","Nilgiri Wood-Pigeon","NWPI","Columbiformes"
"89.2.12.283","NHM Tring","Columba elphinstonii","",1881,3,25,"Naduvattum","NDVT",NA,NA,"W Davison","","Hume coll.","Nilgiri Wood-Pigeon","NWPI","Columbiformes"
"89.2.2.282","NHM Tring","Columba elphinstonii","",1881,3,24,"Naduvattum","NDVT",NA,NA,"W Davison","","Hume coll.","Nilgiri Wood-Pigeon","NWPI","Columbiformes"
"89.2.2.284","NHM Tring","Columba elphinstonii","",1881,3,25,"Naduvattum","NDVT",NA,NA,"W Davison","","Hume coll.","Nilgiri Wood-Pigeon","NWPI","Columbiformes"
"89.2.2.275","NHM Tring","Columba elphinstonii","",1881,3,5,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Nilgiri Wood-Pigeon","NWPI","Columbiformes"
"89.2.2.279","NHM Tring","Columba elphinstonii","",1867,5,19,"Ootacamund","OTCM",NA,NA,"","","Hume coll.","Nilgiri Wood-Pigeon","NWPI","Columbiformes"
"89.2.2.278","NHM Tring","Columba elphinstonii","",1867,5,20,"Ootacamund","OTCM",NA,NA,"","","Hume coll.","Nilgiri Wood-Pigeon","NWPI","Columbiformes"
"89.2.2.277","NHM Tring","Columba elphinstonii","",1867,5,28,"Ootacamund","OTCM",NA,NA,"","","Hume coll.","Nilgiri Wood-Pigeon","NWPI","Columbiformes"
